"Core Project Number","ClinicalTrials.gov ID","Study","Study Status",
"R01HL061369","NCT00006295","Molecular & Clinical Evaluation of Low HDL Syndromes","COMPLETED",
"R01HL062684","NCT00006296","CV Risk Factors at Age 25-64 & Long-Term Medicare Costs","COMPLETED",
"R01HL062985","NCT00006297","Risk Factors for CV Disease in a Dialysis Cohort","COMPLETED",
"U01HL061744","NCT00006305","Bypass Angioplasty Revascularization Investigation in Type 2 Diabetes","COMPLETED",
"R01HL060689","NCT00006306","Effects of Chronic Ozone Exposure on Lung Function","COMPLETED",
"R01HL058904","NCT00006309","Pooling of Cohort Studies on Diet & Coronary Disease","COMPLETED",
"R01HL060826","NCT00006311","Anxiety and Vagal Control of the Heart in Coronary Disease","COMPLETED",
"R01HL063470","NCT00006314","Cytomegalovirus Spread and Reactivation in Blood Cells","COMPLETED",
"M01RR000042","NCT00006332","Treatment of Hepatocellular Carcinoma With Tetrathiomolybdate","COMPLETED",
"P30CA016059","NCT00006344","Radiation Therapy in Preventing Brain Metastases in Patients With Small Cell Lung Cancer","WITHDRAWN",
"U10CA031946","NCT00006359","Androgen Suppression Plus Radiation Therapy in Treating Patients With Prostate Cancer","COMPLETED",
"P30CA043703","NCT00006372","Combination Chemotherapy in Treating Patients With Advanced Solid Tumors","COMPLETED",
"R01DK046580","NCT00006398","Prevention of Esophageal Varices by Beta-Adrenergic Blockers","COMPLETED",
"R01HL064753","NCT00006403","Inflammation: Correlates and Prognosis in Framingham","COMPLETED",
"R01HL064925","NCT00006404","Nutrition in Pregnancy, Birth Weight, and Childhood Asthma","COMPLETED",
"R01MH060879","NCT00006418","Molecular Genetics of Schizophrenia","COMPLETED",
"P01HD033988","NCT00006428","Chronic Pain in Spinal Cord Injury","COMPLETED",
"M01RR000042","NCT00006434","Tumor Lysate Pulsed-Dendritic Cell Vaccines After High-Dose Chemotherapy for Non-Hodgkin's Lymphoma","COMPLETED",
"R01HD036075","NCT00006447","Supporting Traumatic Brain Injury (TBI) Caregivers","COMPLETED",
"R01AA012696","NCT00006449","Post-Treatment Effects of Naltrexone","COMPLETED",
"U01CA062502","NCT00006465","Combination Chemotherapy in Treating Patients With Advanced Solid Tumors","COMPLETED",
"M01RR000036","NCT00006508","Disorders of Systemic Glucose Balance","COMPLETED",
"R01HL066447","NCT00006511","Chromosome 5Q Gene Variants and Asthma-Related Traits","COMPLETED",
"U01CA076576","NCT00006929","Suramin, Paclitaxel, and Carboplatin in Treating Patients With Stage IIIB or Stage IV Non-small Cell Lung Cancer","COMPLETED",
"U01HL063942","NCT00007085","Prospective Investigation of Pulmonary Embolism Diagnosis (PIOPED II)","COMPLETED",
"R44AR045153","NCT00007241","Muscle Strengthening Device for Knee Osteoarthritis","COMPLETED",
"R01AR046265","NCT00007358","Dexamethasone Treatment for Congenital Heart Block (CHB) in Newborns With Lupus","COMPLETED",
"R01HL062394","NCT00007384","Longitudinal LDL-C Studies in Black and White Families","COMPLETED",
"P30CA043703","NCT00007904","Adjuvant Stage 2-3A Breast Cancer With Positive Lymph Nodes","COMPLETED",
"P30CA006516","NCT00007917","Gemcitabine Plus Flavopiridol in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U01CA062490","NCT00007917","Gemcitabine Plus Flavopiridol in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U01CA079778","NCT00008346","Digital Mammography Screening Trial (ACRIN6652)","COMPLETED",
"R01MH056511","NCT00009191","The Depression in Alzheimer's Disease Study (DIADS)","COMPLETED",
"U10HD021385","NCT00009620","Antenatal Phenobarbital to Prevent Neonatal Intracranial Hemorrhage","COMPLETED",
"M01RR008084","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U01HD019897","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U10HD027853","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U10HD027856","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U10HD027880","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U10HD036790","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U10HD040498","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U10HD042638","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U10HD053124","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"UL1RR024139","NCT00009633","Follow-up Visit of High Risk Infants","RECRUITING",
"U10HD027851","NCT00009646","Trial of Indomethacin Prophylaxis in Preterm Infants (TIPP)","COMPLETED",
"P30CA051008","NCT00009958","Vaccine Therapy With or Without Sargramostim in Treating Patients With Cancer","TERMINATED",
"P30CA016087","NCT00010036","Carboplatin Plus Irinotecan in Treating Patients With Glioblastoma Multiforme","COMPLETED",
"R01AT000129","NCT00010478","Acupuncture and Hypertension","COMPLETED",
"P50AT000076","NCT00010634","Complementary Naturopathic Medicine for Periodontitis","COMPLETED",
"P50AT000084","NCT00010647","Cost-Effectiveness of and Long-Term Outcomes Following Acupuncture Treatment for Osteoarthritis of the Knee","COMPLETED",
"P50AT000090","NCT00010712","Effects of Black Cohosh on Menopausal Hot Flashes","COMPLETED",
"P50AT000066","NCT00010881","Oregon Center for Complementary and Alternative Medicine in Neurological Disorders","COMPLETED",
"P50AT000066","NCT00010920","Preventing Cognitive Decline With Alternative Therapies","COMPLETED",
"P50AT000008","NCT00010933","Treatment of Functional Abdominal Pain in Children: Evaluation of Relaxation/Guided Imagery and Chamomile Tea as Therapeutic Modalities","COMPLETED",
"R01AT000010","NCT00010972","Use of Acupuncture for Dental Pain: Testing a Model","COMPLETED",
"M01RR000070","NCT00011362","Dexamethasone Therapy in VLBW Infants at Risk of CLD","COMPLETED",
"U10CA021115","NCT00014118","Chemotherapy and Radiation Therapy in Treating Patients With Stage III or Stage IV Larynx or Oropharynx Cancer","COMPLETED",
"U10CA025224","NCT00014170","Gefitinib in Treating Patients With Newly Diagnosed Glioblastoma Multiforme","COMPLETED",
"P30CA023108","NCT00014430","Chemotherapy Plus Trastuzumab in Treating Patients With Breast Cancer","COMPLETED",
"P30CA023108","NCT00014456","Combination Chemotherapy Plus Filgrastim in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U10HD036801","NCT00014989","Beneficial Effects of Antenatal Magnesium Sulfate (BEAM Trial)","COMPLETED",
"U10HD040500","NCT00014989","Beneficial Effects of Antenatal Magnesium Sulfate (BEAM Trial)","COMPLETED",
"U10HD040545","NCT00014989","Beneficial Effects of Antenatal Magnesium Sulfate (BEAM Trial)","COMPLETED",
"U10CA025224","NCT00015821","Thalidomide in Treating Patients With Myelofibrosis","COMPLETED",
"P30CA006973","NCT00015925","MS-275 in Treating Patients With Hematologic Cancer","COMPLETED",
"U10CA032102","NCT00015938","S0102: Docetaxel, Vinorelbine, and Filgrastim in Treating Women With Stage IV Breast Cancer","COMPLETED",
"U10CA025224","NCT00015990","Thalidomide in Treating Patients With Myelodysplastic Syndrome","COMPLETED",
"P30CA008748","NCT00016146","Vaccine Therapy Plus Biological Therapy in Treating Patients With Prostate Cancer","COMPLETED",
"M01RR000032","NCT00016523","Inhaled Nitric Oxide for Preterm Infants With Severe Respiratory Failure","TERMINATED",
"M01RR000750","NCT00016523","Inhaled Nitric Oxide for Preterm Infants With Severe Respiratory Failure","TERMINATED",
"U10HD034216","NCT00016523","Inhaled Nitric Oxide for Preterm Infants With Severe Respiratory Failure","TERMINATED",
"U10HD040461","NCT00016523","Inhaled Nitric Oxide for Preterm Infants With Severe Respiratory Failure","TERMINATED",
"U10CA027469","NCT00017004","Radiation Therapy and Cisplatin With or Without Epoetin Alfa in Treating Patients With Cervical Cancer and Anemia","COMPLETED",
"P30CA016059","NCT00017342","Bryostatin 1 and Cytarabine in Treating Patients With Relapsed Acute Myelogenous Leukemia","COMPLETED",
"P30CA016056","NCT00017485","Photodynamic Therapy in Treating Patients With Basal Cell Skin Cancer","COMPLETED",
"R01HL068630","NCT00017836","Mechanisms Linking Depression to Cardiovascular Risk","COMPLETED",
"U01DK056990","NCT00017953","Look AHEAD: Action for Health in Diabetes","COMPLETED",
"U01DK057149","NCT00017953","Look AHEAD: Action for Health in Diabetes","COMPLETED",
"U01DK057151","NCT00017953","Look AHEAD: Action for Health in Diabetes","COMPLETED",
"U01DK057171","NCT00017953","Look AHEAD: Action for Health in Diabetes","COMPLETED",
"U01DK057178","NCT00017953","Look AHEAD: Action for Health in Diabetes","COMPLETED",
"U01DK057219","NCT00017953","Look AHEAD: Action for Health in Diabetes","COMPLETED",
"U01MH060642","NCT00018863","Treatment of Attention Deficit Hyperactivity Disorder in Preschool-Age Children (PATS)","COMPLETED",
"U01MH060903","NCT00018863","Treatment of Attention Deficit Hyperactivity Disorder in Preschool-Age Children (PATS)","COMPLETED",
"P30CA022453","NCT00020722","Chemotherapy Followed by Peripheral Stem Cell Transplantation Plus Biological Therapy in Treating Women With Stage IV Breast Cancer","TERMINATED",
"P30CA051008","NCT00020748","Epirubicin Plus Irinotecan in Treating Patients With Advanced Cancer","COMPLETED",
"P30CA016042","NCT00020878","Celecoxib in Preventing Non-Small Cell Lung Cancer in Tobacco Smokers","COMPLETED",
"P30CA008748","NCT00020891","CT Scans in Guiding the Treatment of Patients With Prostate Cancer Who Are Undergoing Radiation Therapy","COMPLETED",
"P01CA027502","NCT00021294","Eflornithine With or Without Triamcinolone in Preventing Nonmelanoma Skin Cancer in Patients With Actinic Keratosis","COMPLETED",
"P30CA006927","NCT00021320","Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Esophageal Cancer","COMPLETED",
"R01AR047298","NCT00021476","Preventing Chronic Whiplash Pain","COMPLETED",
"R01HL066430","NCT00021879","Visceral Adiposity and CVD Risk in Women","COMPLETED",
"R01HL067684","NCT00021931","Modification of Allergic Immunologic Response by Leukotriene Antagonists - Ancillary to ACRN IMPACT","COMPLETED",
"R01HL067691","NCT00021957","ESCAPE Mechanistic Substudies - Ancillary to ESCAPE","COMPLETED",
"R01HL068397","NCT00021970","Modifying Oxidative Damage in WAVE - Ancillary to WAVE","COMPLETED",
"R01HL063772","NCT00022789","Prevalence of Sleep-Disordered Breathing in Children","COMPLETED",
"K23AR002161","NCT00022841","Prevention of Steroid-Induced Osteoporosis in Children","TERMINATED",
"K23AR047631","NCT00022854","Pain Relief Results After Anterior Cruciate Ligament (ACL) Reconstruction","COMPLETED",
"R01DA009803","NCT00023283","Counseling Conditions for Buprenorphine in a Primary Care Clinic - 1","COMPLETED",
"R01HL066480","NCT00023556","Genetic Architecture of Heart Disease in Rural Brazil","COMPLETED",
"U01HL069013","NCT00023595","Comparison of Surgical and Medical Treatment for Congestive Heart Failure and Coronary Artery Disease","COMPLETED",
"U10CA031946","NCT00023751","Surgery With or Without Chemotherapy and Radiation Therapy in TreatingPatients With Stage I Rectal Cancer","COMPLETED",
"P30CA016672","NCT00024167","Chemotherapy With or Without Strontium-89 in Treating Patients With Prostate Cancer","TERMINATED",
"U10CA045809","NCT00024167","Chemotherapy With or Without Strontium-89 in Treating Patients With Prostate Cancer","TERMINATED",
"U01HL065652","NCT00024505","Multidisciplinary Study of Right Ventricular Dysplasia","COMPLETED",
"R01HL088215","NCT00024596","Family Heart Study - Subclinical Atherosclerosis Network (FHS-SCAN)","COMPLETED",
"P30CA015083","NCT00025025","Screening Tests in Detecting Colorectal Cancer","COMPLETED",
"U10CA098543","NCT00025038","Combination Chemotherapy Followed By Donor Bone Marrow or Umbilical Cord Blood Transplant in Treating Children With Newly Diagnosed Juvenile Myelomonocytic Leukemia","COMPLETED",
"U10CA031946","NCT00025207","Gefitinib in Treating Patients With Malignant Mesothelioma","COMPLETED",
"U10CA027469","NCT00025220","Thalidomide in Treating Patients With Recurrent or Persistent Cancer of the Uterus","COMPLETED",
"U01CA062505","NCT00025415","Imatinib Mesylate in Treating Patients With Advanced Cancer and Liver Dysfunction","COMPLETED",
"U10CA027469","NCT00025506","Thalidomide in Treating Patients With Recurrent or Persistent Carcinosarcoma of the Uterus","COMPLETED",
"R01HL067683","NCT00025766","Angioplasty and Heart Stents to Treat Individuals With an Occluded Artery Following a Heart Attack","COMPLETED",
"R01AT000310","NCT00026065","Hypertension: Prediction of Biofeedback Success","COMPLETED",
"U10CA031946","NCT00026130","Combination Chemotherapy and Radiation Therapy in Treating Patients With Pancreatic Cancer","COMPLETED",
"U01CA062491","NCT00026169","Imatinib Mesylate in Treating Patients With Advanced Cancer and Kidney Failure","COMPLETED",
"U10CA025224","NCT00026234","Hepatic Arterial Infusion Plus Chemotherapy in Treating Patients With Colorectal Cancer Metastatic to the Liver","COMPLETED",
"R21AT000291","NCT00027001","Qigong Therapy For Heart Device Patients","COMPLETED",
"R01NS038473","NCT00027209","Hormone Replacement in Menopausal Women With Epilepsy","COMPLETED",
"P30CA046592","NCT00027495","Curcumin for the Prevention of Colon Cancer","COMPLETED",
"P30CA015704","NCT00027820","Total-Body Irradiation and Fludarabine Phosphate Followed by Donor Peripheral Blood Stem Cell Transplant in Treating Patients With Hematologic Malignancies or Kidney Cancer","COMPLETED",
"U01CA070095","NCT00027872","Tipifarnib in Treating Older Patients With Previously Untreated Acute Myeloid Leukemia","COMPLETED",
"U01CA099176","NCT00027898","Bortezomib and Combination Chemotherapy in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U01CA076576","NCT00028535","Interleukin-12, Paclitaxel, and Trastuzumab in Treating Patients With Solid Tumors","COMPLETED",
"P30CA022453","NCT00028548","XK469 in Treating Patients With Advanced Solid Tumors","COMPLETED",
"R01AT000842","NCT00029692","Effects of Ginseng and Ginkgo on Drug Disposition in Man","COMPLETED",
"R01AT000644","NCT00029783","Efficacy of Distant Healing in Glioblastoma Treatment","COMPLETED",
"R21AT000277","NCT00030030","Evaluating Silymarin for Chronic Hepatitis C","COMPLETED",
"R01HD039081","NCT00031122","Study of Genetic Risk Factors for Spina Bifida and Anencephaly","UNKNOWN STATUS",
"P60AR048093","NCT00032227","Carpal Tunnel Syndrome: Diagnosis and Treatment Trial","COMPLETED",
"P60AR047785","NCT00032240","Shoe Inserts for Treating Osteoarthritis of the Knee","COMPLETED",
"R21AT000407","NCT00032656","Adolescents' Use of Complementary and Alternative Medicine","COMPLETED",
"R21AT001012","NCT00032721","The Use of Reiki for Patients With Advanced AIDS","COMPLETED",
"R21AT000416","NCT00032760","Meditation-Based Treatment for Binge Eating Disorder","COMPLETED",
"U10CA013539","NCT00033293","Cyclophosphamide and Prednisone With or Without Immunoglobulin in Treating Abnormal Muscle Movement in Children With Neuroblastoma","ACTIVE, NOT RECRUITING",
"P30CA016672","NCT00033371","Celecoxib With or Without Eflornithine in Preventing Colorectal Cancer in Patients With Familial Adenomatous Polyposis","COMPLETED",
"R01NS027116","NCT00033917","Indomethacin Germinal Matrix Hemorrhage/Intraventricular Hemorrhage (GMH/IVH) Prevention Trial","COMPLETED",
"R21AT000391","NCT00035438","St. John's Wort Vs. Placebo in Obsessive-Compulsive Disorder.","COMPLETED",
"R01HL068737","NCT00035672","Genetic Predictors of Incident Cardiovascular Disease","WITHDRAWN",
"R01HL064122","NCT00035763","Pain in Sickle Cell Epidemiologic Study","COMPLETED",
"U10CA032102","NCT00036751","Imatinib Mesylate in Treating Patients With Stage III or Stage IV Ovarian Epithelial or Primary Peritoneal Cancer","COMPLETED",
"U01CA069854","NCT00036777","UCN-01 and Carboplatin in Treating Patients With Advanced Solid Tumors","COMPLETED",
"P30CA014520","NCT00036790","Motexafin Gadolinium and Doxorubicin in Treating Patients With Advanced Cancer","COMPLETED",
"U01CA097452","NCT00036855","Radiolabeled Monoclonal Antibody With or Without Peripheral Stem Cell Transplantation in Treating Children With Recurrent or Refractory Lymphoma","TERMINATED",
"R44AR048029","NCT00037167","Effects of Exercise Poles on Older Adults During Exercise Walking","COMPLETED",
"R01HL065582","NCT00037258","Dyslipidemia and Risk of Cardiovascular Disease in Diabetic Men and Women","COMPLETED",
"R03HL065728","NCT00037453","Analysis of Sex Hormones and Lipoproteins in Young Males","COMPLETED",
"R01NS038636","NCT00037479","Brain Imaging and Retreatment Study of Persistent Lyme Disease","COMPLETED",
"U01DK060342","NCT00038974","Hepatitis C Antiviral Resistance in African-Americans","COMPLETED",
"U01DK060345","NCT00038974","Hepatitis C Antiviral Resistance in African-Americans","COMPLETED",
"R21CA105776","NCT00039091","Monoclonal Antibody Therapy in Treating Patients With Ovarian Epithelial Cancer, Melanoma, Acute Myeloid Leukemia, Myelodysplastic Syndrome, or Non-Small Cell Lung Cancer","TERMINATED",
"P30CA008748","NCT00039286","Positron Emission Tomography Before Surgery in Evaluating Women With Primary or Recurrent Breast Cancer","COMPLETED",
"P30CA016042","NCT00039312","Comparison of Screening Tests in Detecting Cervical Neoplasia","COMPLETED",
"P30CA016042","NCT00039325","Vaccine Therapy in Treating Patients With Stage IV or Recurrent Malignant Melanoma","COMPLETED",
"R01NS038441","NCT00040287","Theory-Based Interventions for Smoking and Obesity (Challenge) Trial","COMPLETED",
"U10CA031946","NCT00040794","Combination Chemotherapy, Radiation Therapy, and Gefitinib in Treating Patients With Stage III Non-Small Cell Lung Cancer","COMPLETED",
"P30CA008748","NCT00040872","Multiple Therapies in Treating Patients With Advanced Neuroblastoma","COMPLETED",
"U10CA032102","NCT00041132","S0213 Chemotherapy Plus Rituximab in Treating Patients With Mantle Cell Lymphoma","COMPLETED",
"U10CA076001","NCT00041197","Imatinib Mesylate in Treating Patients With Primary Gastrointestinal Stromal Tumor That Has Been Completely Removed By Surgery","COMPLETED",
"R01MH060735","NCT00042198","Treatment of Depression After Coronary Bypass Surgery","COMPLETED",
"R01MH061331","NCT00042211","Preventing Depression in Patients With Macular Degeneration","COMPLETED",
"R01MH061410","NCT00043550","Treatments for Depression: Drug Versus Psychotherapy","COMPLETED",
"R01MH062119","NCT00044629","Combined Behavioral/Pharmacological Therapy for Insomnia","COMPLETED",
"U01CA062399","NCT00045110","Erlotinib in Treating Patients With Recurrent Malignant Glioma or Recurrent or Progressive Meningioma","COMPLETED",
"U01CA069854","NCT00045396","A Phase II Study Of The Farnesyltransferase Inhibitor ZANESTRA (R115777, NSC #702818, IND #58,359) In Complete Remission Following Induction And/Or Consolidation Chemotherapy In Adults With Poor-Risk Acute Myelogenous Leukemia (AML) And High-Risk Myelodysplasia (MDS)","COMPLETED",
"U10CA032102","NCT00045630","S0219, Combination Chemotherapy Followed By Observation or Surgery in Patients With Stage II or Stage III Cancer of the Urothelium","COMPLETED",
"R01HL071122","NCT00046579","Psychosocial Determinants of Nutrient Intake in Girls","COMPLETED",
"R01HL071017","NCT00046605","Inflammation Genomics and Atherosclerosis - Ancillary to CARDIA","COMPLETED",
"R01CA067819","NCT00046917","Combination Chemotherapy in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U01CA069856","NCT00046917","Combination Chemotherapy in Treating Patients With Advanced Solid Tumors","COMPLETED",
"P30CA016042","NCT00047255","Docetaxel and Trastuzumab With or Without Carboplatin in Treating Women With HER2-Positive Breast Cancer","COMPLETED",
"P30CA006516","NCT00047281","Thalidomide, Celecoxib, and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Malignant Glioma","COMPLETED",
"R01CA067819","NCT00047307","Flavopiridol Plus Radiation Therapy Followed By Gemcitabine Hydrochloride in Treating Patients With Locally Advanced, Unresectable Pancreatic Cancer","COMPLETED",
"U01CA069856","NCT00047307","Flavopiridol Plus Radiation Therapy Followed By Gemcitabine Hydrochloride in Treating Patients With Locally Advanced, Unresectable Pancreatic Cancer","COMPLETED",
"U01HL067972","NCT00047411","Home Use of Automatic External Defibrillators to Treat Sudden Cardiac Arrest","COMPLETED",
"U01HL066497","NCT00047437","Exercise Training Program to Improve Clinical Outcomes in Individuals With Congestive Heart Failure","COMPLETED",
"R01NS045294","NCT00047723","Minocycline to Treat Amyotrophic Lateral Sclerosis","COMPLETED",
"U10CA031946","NCT00049010","Diagnostic Study to Predict the Risk of Developing Metastatic Cancer in Patients With Stage I or Stage II Melanoma","COMPLETED",
"U01CA070019","NCT00049036","Combination Chemotherapy and Rituximab in Treating Patients With HIV-Associated Stage I, Stage II, Stage III, or Stage IV Non-Hodgkin's Lymphoma","COMPLETED",
"U01CA070095","NCT00049088","Bortezomib and Docetaxel in Treating Patients With Advanced Solid Tumors","TERMINATED",
"U01CA070095","NCT00049166","Erlotinib and Radiation Therapy With or Without Cisplatin in Treating Patients With Mouth or Throat Cancer","COMPLETED",
"U01CA062502","NCT00049283","Erlotinib, Docetaxel, and Radiation Therapy in Treating Patients With Locally Advanced Head and Neck Cancer","COMPLETED",
"U01CA062399","NCT00049387","Tipifarnib, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma","COMPLETED",
"U01CA076642","NCT00049400","S0355 Ixabepilone in Treating Patients With Advanced Solid Tumors or Lymphomas and Liver Dysfunction","COMPLETED",
"R01HL071917","NCT00049855","Novel Approaches in Linkage Analysis for Complex Traits","COMPLETED",
"R01HL071027","NCT00049881","Genetic Determinants:Low HDL, High Triglycerides, Obesity","COMPLETED",
"R01MH059308","NCT00051220","Treatment for Specific Phobias in Children","COMPLETED",
"U01AI045407","NCT00052195","Investigational Vaccine for the Prevention of Disseminated Tuberculosis in HIV Infected People","COMPLETED",
"P30CA016042","NCT00052286","Modafinil in Treating Fatigue and Behavioral Change in Patients With Primary Brain Cancer","COMPLETED",
"U01CA099118","NCT00052559","Bevacizumab, Fluorouracil, and External-Beam Radiation Therapy in Treating Patients With Stage II or Stage III Rectal Cancer","COMPLETED",
"P30CA014520","NCT00052832","Doxercalciferol in Treating Patients With Myelodysplastic Syndrome or Chronic Myelomonocytic Leukemia","COMPLETED",
"U10CA032102","NCT00053014","S0125, Chemotherapy, Total-Body Irradiation, and Peripheral Stem Cell Transplantation in Treating Older Patients With Acute Myeloid Leukemia","TERMINATED",
"U10CA031946","NCT00053196","Donor Stem Cell Transplant in Treating Patients With Relapsed Hematologic Cancer","COMPLETED",
"P30CA043703","NCT00053287","Fludarabine/Carboplatin/Topotecan w/Thalidomide for Relapsed/Refractory AML, CML and MDS","COMPLETED",
"P30CA043703","NCT00053300","Thalidomide in Treating Patients With Extensive-Stage Small Cell Lung Cancer","COMPLETED",
"U10CA098543","NCT00053326","Fenretinide in Treating Children With Recurrent or Resistant Neuroblastoma","COMPLETED",
"R01AI047742","NCT00053430","Using the Drug Thalidomide to Stimulate T Cells in HIV-Infected People","COMPLETED",
"U10CA037420","NCT00053846","Buspirone in Reducing Shortness of Breath in Patients With Cancer","COMPLETED",
"U10CA032102","NCT00054054","S0216, Combination Chemotherapy and RT in Treating Patients With Stage III or Stage IV Head and Neck Cancer","COMPLETED",
"P30CA043703","NCT00054236","Combination Chemotherapy Followed By Umbilical Cord Blood Transplantation in Treating Patients With Hematologic Cancer or Severe Aplastic Anemia","COMPLETED",
"P30CA043703","NCT00054275","Erlotinib Plus Docetaxel in Treating Patients With Stage IV or Recurrent Breast Cancer","COMPLETED",
"P30CA043703","NCT00054301","Radiation Therapy After Lumpectomy in Treating Women With Ductal Carcinoma in Situ or Invasive Breast Cancer","COMPLETED",
"P30CA015704","NCT00054353","Reduced-Intensity Conditioning Followed By Donor Peripheral Blood Stem Cell Transplant in Treating Patients With Multiple Myeloma","COMPLETED",
"U01CA062487","NCT00054483","Bortezomib in Treating Patients With Advanced Cancer and Kidney Dysfunction","COMPLETED",
"U01CA062502","NCT00054483","Bortezomib in Treating Patients With Advanced Cancer and Kidney Dysfunction","COMPLETED",
"U01CA069853","NCT00054483","Bortezomib in Treating Patients With Advanced Cancer and Kidney Dysfunction","COMPLETED",
"R01AI044656","NCT00055094","Treatment of Acute HIV Infection to Preserve Immune Function","COMPLETED",
"P30CA014599","NCT00055913","Bevacizumab and Erlotinib in Treating Patients With Recurrent or Metastatic Head and Neck Cancer","COMPLETED",
"P30CA016042","NCT00055926","CP-724,714 in Treating Patients With Metastatic Breast Cancer","COMPLETED",
"P30CA022453","NCT00056004","Zileuton in Preventing Lung Cancer in Patients With Bronchial Dysplasia","COMPLETED",
"R21MH061956","NCT00056316","Reducing Depression in Dementia Caregivers","COMPLETED",
"R01AT001108","NCT00056511","Comparing Effects of 3 Sources of Garlic on Cholesterol Levels","COMPLETED",
"R01AI051181","NCT00056797","Therapeutic HIV Vaccine and Interleukin-2 to Increase the Immune System's Response to HIV","COMPLETED",
"R01AI032414","NCT00057421","Tuberculosis in HIV Infected Patients in Uganda","COMPLETED",
"U01MH062465","NCT00057551","Research Evaluating the Value of Augmenting Medication With Psychotherapy","COMPLETED",
"U01MH062546","NCT00057551","Research Evaluating the Value of Augmenting Medication With Psychotherapy","COMPLETED",
"R01MH060713","NCT00057577","Prevention of Recurrence in Depression With Drugs and CT","COMPLETED",
"U01MH064850","NCT00057681","Study of Outcome and Safety of Lithium, Divalproex and Risperidone for Mania in Children and Adolescents","COMPLETED",
"U10CA098543","NCT00057811","Rituximab, Rasburicase, and Combination Chemotherapy in Treating Young Patients With Newly Diagnosed Advanced B-Cell Leukemia or Lymphoma","COMPLETED",
"U10CA032102","NCT00057928","S0227 Cisplatin With Either Paclitaxel or Gemcitabine in Recurrent, Persistent, or Metastatic Cervical Cancer","WITHDRAWN",
"U10CA021115","NCT00057954","Reduced-Intensity Regimen Before Allogeneic Transplant for Patients With Relapsed Non-Hodgkin's or Hodgkin's Lymphoma","TERMINATED",
"U01CA079778","NCT00058058","Magnetic Resonance Imaging in Women Recently Diagnosed With Unilateral Breast Cancer","COMPLETED",
"U01CA076576","NCT00058240","Flavopiridol in Treating Patients With Previously Treated Chronic Lymphocytic Leukemia or Lymphocytic Lymphoma","COMPLETED",
"U10CA032102","NCT00058448","S0224, Docetaxel in Treating Patients With Locally Advanced or Metastatic Penile Cancer (TERMINATED)","TERMINATED",
"R01HL067052","NCT00058669","CVD Risk Factors and Sexual Identity in Women","COMPLETED",
"R21AT001326","NCT00058851","Massage Therapy for Breast Cancer Treatment-Related Swelling of the Arms","COMPLETED",
"R01HL070150","NCT00059098","Identification of Genes Predisposing to Atherosclerosis","COMPLETED",
"R01DK055384","NCT00059254","Differential Metabolism of Dietary Fatty Acids","COMPLETED",
"R01HD036725","NCT00059436","Mental Effort and Muscle Strength","COMPLETED",
"U10DA024128","NCT00059540","The Maternal Lifestyle Study (MLS)","COMPLETED",
"U10HD027904","NCT00059540","The Maternal Lifestyle Study (MLS)","COMPLETED",
"P30CA016042","NCT00060086","Pomegranate Juice in Treating Patients With Recurrent Prostate Cancer","ACTIVE, NOT RECRUITING",
"U10CA021115","NCT00060346","Rituximab and Combination Chemotherapy in Treating Patients With Newly Diagnosed Waldenstrom's Macroglobulinemia","TERMINATED",
"U10CA027469","NCT00060359","Polyglutamate Paclitaxel and Carboplatin in Treating Patients With Ovarian Epithelial, Peritoneal, or Fallopian Tube Cancer","COMPLETED",
"R29HD033738","NCT00060970","Evaluating Muscle Function After Ankle Surgery","COMPLETED",
"R01HD038919","NCT00061217","Prosthetic Limbs After Leg Amputation: Alternative Method of Socket Design","UNKNOWN STATUS",
"R01AI045462","NCT00061321","Daily Nevirapine to Prevent Mother to Infant Transmission of HIV","COMPLETED",
"K23HD040896","NCT00061399","Prospective Memory in Children With Traumatic Brain Injury","COMPLETED",
"R01MH063998","NCT00061698","Treatment for Depressed Preadolescent Girls","COMPLETED",
"U01DK062445","NCT00061828","A Prospective Database of Infants With Cholestasis","RECRUITING",
"R03DK061502","NCT00062452","Esophageal Motility and Airway Defenses Among Infants","COMPLETED",
"M01RR000039","NCT00063063","Generic Database of Very Low Birth Weight Infants","RECRUITING",
"M01RR000044","NCT00063063","Generic Database of Very Low Birth Weight Infants","RECRUITING",
"M01RR001032","NCT00063063","Generic Database of Very Low Birth Weight Infants","RECRUITING",
