"Core Project Number","ClinicalTrials.gov ID","Study","Study Status",
"P30CA006973","NCT00290732","Liposomal Doxorubicin Before Mastectomy in Treating Women With Invasive Breast Cancer","COMPLETED",
"P30CA015083","NCT00290810","Bevacizumab in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia","COMPLETED",
"R21CA108145","NCT00291486","Capecitabine and 131I-huA33 in Patients With Metastatic Colorectal Cancer","COMPLETED",
"R01HD043921","NCT00292591","Evaluation of Vitamin D Requirements During Pregnancy","COMPLETED",
"U01CA076576","NCT00293345","3-AP and Gemcitabine in Treating Patients With Advanced Solid Tumors or Lymphoma","COMPLETED",
"P30CA082103","NCT00293423","GP96 Heat Shock Protein-Peptide Complex Vaccine in Treating Patients With Recurrent or Progressive Glioma","COMPLETED",
"R01CA164714","NCT00293423","GP96 Heat Shock Protein-Peptide Complex Vaccine in Treating Patients With Recurrent or Progressive Glioma","COMPLETED",
"R01AG023116","NCT00294307","Enhancing Care Coordination: Hospital to Home for Cognitively Impaired Older Adults and Their Caregivers","COMPLETED",
"U01CA062502","NCT00296062","Dose Dense Therapy and Bevacizumab in Solid Tumors and Colorectal Cancer","TERMINATED",
"R01HL063861","NCT00296101","School-Based Intervention to Increase Physical Activity Among Adolescent Females","COMPLETED",
"U01AG014282","NCT00298558","ACTIVE: Advanced Cognitive Training for Independent and Vital Elderly","COMPLETED",
"U01NR004508","NCT00298558","ACTIVE: Advanced Cognitive Training for Independent and Vital Elderly","COMPLETED",
"U54HL070587","NCT00300235","Priapism in Boys and Men With Sickle Cell Disease - Demographics, Characteristics and Prevalence","COMPLETED",
"R01AA007112","NCT00300638","Alcoholism: Emotion and Thinking","TERMINATED",
"P30CA060553","NCT00301067","Phase I/II Study of High-Dose Calcitriol Plus Temodar for Patients With Metastatic Melanoma","COMPLETED",
"P30CA006516","NCT00301093","Vaccine Therapy and Imatinib Mesylate in Treating Patients With Chronic Phase Chronic Myelogenous Leukemia","COMPLETED",
"R34DK070702","NCT00302042","Translating the DPP Into the Community","COMPLETED",
"U01CA069912","NCT00303797","Sorafenib and Bortezomib in Treating Patients With Advanced Cancer","COMPLETED",
"U10CA032102","NCT00303953","PXD101 in Treating Patients With Relapsed or Refractory Aggressive B-Cell Non-Hodgkin's Lymphoma","COMPLETED",
"R01MH042206","NCT00304187","Effectiveness of Antibiotic Treatment for Reducing Binge Eating and Improving Digestive Function in Bulimia Nervosa","COMPLETED",
"U10CA021661","NCT00305864","Motexafin Gadolinium, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma","COMPLETED",
"R01MH073673","NCT00308997","Transcranial Magnetic Stimulation for 'Voices'","COMPLETED",
"R01HD043943","NCT00309114","Prevention of Urinary Tract Infection (UTI) in Persons With Spinal Cord Injury (SCI)","COMPLETED",
"R01CA094826","NCT00310141","Computer-Assisted Counseling in Helping African American Smokers Stop Smoking","COMPLETED",
"U10CA180820","NCT00310180","Hormone Therapy With or Without Combination Chemotherapy in Treating Women Who Have Undergone Surgery for Node-Negative Breast Cancer (The TAILORx Trial)","ACTIVE, NOT RECRUITING",
"R01DA017721","NCT00310258","Drug Use Prevention Among Girls Through a Mother-Daughter Intervention","COMPLETED",
"U01HL081332","NCT00310401","The Effect of Nebulized Albuterol on Donor Oxygenation","COMPLETED",
"R01HD039611","NCT00310726","Zambia Exclusive Breastfeeding Study","COMPLETED",
"U10EY011751","NCT00310960","An Observational Study of Infantile, Acquired Non-accommodative, and Acquired Partially-accommodative Esotropia","COMPLETED",
"P30CA043703","NCT00311558","Sodium Stibogluconate and Interferon in Treating Patients With Advanced Solid Tumors, Lymphoma, or Myeloma","TERMINATED",
"U10CA031946","NCT00311610","Liposomal SN-38 in Treating Patients With Metastatic Colorectal Cancer","COMPLETED",
"R01HL062095","NCT00312429","Umbilical Cord Blood Stem Cell Transplantation in Adults With Advanced Blood Disorders or Cancer","COMPLETED",
"R01HL095140","NCT00312468","Examining the Link Between Heart Disease and HIV Infection in Women","COMPLETED",
"R01AI064074","NCT00312546","Study of Valproic Acid to Treat HIV Infected Adults","TERMINATED",
"U01AI067854","NCT00312546","Study of Valproic Acid to Treat HIV Infected Adults","TERMINATED",
"R21AT003102","NCT00312936","A Mindfulness Based Approach to HIV Treatment Side Effects","COMPLETED",
"U54NS053672","NCT00313677","Clinical Trial Readiness for the Dystroglycanopathies","RECRUITING",
"P01NS038660","NCT00313716","Effects of Erythropoietin on Cerebral Vascular Dysfunction and Anemia in Traumatic Brain Injury","COMPLETED",
"U10EY011751","NCT00315302","Trial Comparing Atropine to Atropine Plus a Plano Lens for the Sound Eye for Amblyopia in Children 3 to <7 Years Old","COMPLETED",
"U10EY011751","NCT00315328","Trial Comparing Patching Versus Atropine for Amblyopia in 7 to < 13 Year Olds","COMPLETED",
"R34MH073567","NCT00316290","Integrated Parent Training for Treating Depression in Mothers of Children With Attention Deficit Hyperactivity Disorder","COMPLETED",
"R01MH072556","NCT00316303","Effectiveness of the Screen, Test, Immunize, Reduce Risk, and Refer (STIRR) Intervention for People With Both a Mental and Substance Abuse Disorder","COMPLETED",
"R34MH071464","NCT00316355","Stepped Care for Treating Obsessive-Compulsive Disorder","COMPLETED",
"R01GM067308","NCT00318201","The Effect of Concomitant Administration of Erythromycin and Diltiazem on CYP3A Activity in Healthy Volunteers","COMPLETED",
"U10HL074212","NCT00318708","Asthma Clinical Research Network (ACRN) Trial - Macrolides in Asthma (MIA)","COMPLETED",
"R01HD018633","NCT00318773","Short-Term Versus Long-Term Treatment for Severe Premenstrual Syndrome (PMS)","COMPLETED",
"R44AG019082","NCT00319072","Hormone Replacement Therapy (HRT) Website Tool","COMPLETED",
"U10HL064288","NCT00319488","Childhood Asthma Research and Education (CARE) Network Trial - Acute Intervention Management Strategies (AIMS)","COMPLETED",
"U54RR019397","NCT00319878","Sirolimus and Cyclosporine for Treatment-Resistant Aplastic Anemia","UNKNOWN STATUS",
"K23HL070058","NCT00320619","Epsilon-Aminocaproaic Acid to Reduce the Need for Blood Transfusions During and Following Spine Surgery","COMPLETED",
"R01MH060004","NCT00320671","Comparison of Aripiprazole and Risperidone for the Treatment of People With First-Episode Psychosis","COMPLETED",
"K23MH002021","NCT00320684","Serotonin Transporter Concentrations in Women With a History of Anorexia Nervosa","COMPLETED",
"K23MH070719","NCT00321971","Prevention of Depression in Spouses of People With Cognitive Impairment","COMPLETED",
"P30CA008748","NCT00324480","Vorinostat and Alvocidib in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U01CA069856","NCT00324480","Vorinostat and Alvocidib in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U10CA021115","NCT00324805","Chemotherapy With or Without Bevacizumab in Treating Patients With Stage IB, Stage II, or Stage IIIA Non-small Cell Lung Cancer That Was Removed By Surgery","ACTIVE, NOT RECRUITING",
"R01DA015641","NCT00325585","HIV Prevention Intervention for Couples","COMPLETED",
"U01CA081457","NCT00326664","AZD2171 in Treating Young Patients With Recurrent, Progressive, or Refractory Primary CNS Tumors","COMPLETED",
"P30CA015083","NCT00326872","AZD2171 in Treating Patients With Neurofibromatosis Type 1 and Plexiform Neurofibroma and/or Neurofibroma Near the Spine","TERMINATED",
"U10CA021115","NCT00326898","Sunitinib Malate or Sorafenib Tosylate in Treating Patients With Kidney Cancer That Was Removed By Surgery","COMPLETED",
"U10CA180820","NCT00326898","Sunitinib Malate or Sorafenib Tosylate in Treating Patients With Kidney Cancer That Was Removed By Surgery","COMPLETED",
"U01DK066174","NCT00327860","Chronic Kidney Disease in Children Prospective Cohort Study (CKiD)","ACTIVE, NOT RECRUITING",
"R01AG023626","NCT00328055","Comparison of an Easy to Read Advance Directive Versus a Standard Advance Directive","COMPLETED",
"R01DA013474","NCT00328445","Randomized Trial of the Positive Action Program in Hawaii Schools","COMPLETED",
"R01NS041333","NCT00328471","A Post Discharge Intervention to Improve Stroke Outcomes","COMPLETED",
"U01CA062491","NCT00330161","Vorinostat in Treating Patients With Progressive Metastatic Prostate Cancer","COMPLETED",
"K24DA000435","NCT00330486","Open Label Trial of Acamprosate in Bipolar Alcoholics","COMPLETED",
"R01DK058631","NCT00330629","Preference and Vegetarian Diet in Weight Loss Treatment","COMPLETED",
"U01MH070009","NCT00330863","Preventing Relapse in Schizophrenia: Oral Antipsychotics Compared To Injectables: Evaluating Efficacy","COMPLETED",
"U01MH070011","NCT00330863","Preventing Relapse in Schizophrenia: Oral Antipsychotics Compared To Injectables: Evaluating Efficacy","COMPLETED",
"U01MH070012","NCT00330863","Preventing Relapse in Schizophrenia: Oral Antipsychotics Compared To Injectables: Evaluating Efficacy","COMPLETED",
"U01MH070017","NCT00330863","Preventing Relapse in Schizophrenia: Oral Antipsychotics Compared To Injectables: Evaluating Efficacy","COMPLETED",
"U10CA098543","NCT00331643","Ixabepilone in Treating Young Patients With Refractory Solid Tumors","COMPLETED",
"R01MH073817","NCT00332098","Effectiveness of Family-Focused Treatment Plus Pharmacotherapy for Bipolar Disorder in Adolescents","COMPLETED",
"R01DA020930","NCT00332813","Reducing HIV Risk Among Pregnant Women in Drug Treatment","COMPLETED",
"R01DA015463","NCT00333242","Hyperalgesia in Methadone Patients: Can it be Treated?","UNKNOWN STATUS",
"UC4DK097835","NCT00333554","Nutritional Intervention to Prevent Diabetes","COMPLETED",
"P30CA006973","NCT00334542","Simvastatin in Preventing a New Breast Cancer in Women at High Risk for a New Breast Cancer","COMPLETED",
"R01AI050718","NCT00334555","Control of Trichomoniasis","COMPLETED",
"R01AI058033","NCT00334633","Treatment of Bacterial Vaginosis (BV) With Tinidazole","COMPLETED",
"P30CA042014","NCT00335491","Exercise in Improving Mobility and Reducing Fatigue and/or Weakness in Older Cancer Survivors","COMPLETED",
"P30CA006973","NCT00336063","Vorinostat and Azacitidine in Treating Patients With Locally Recurrent or Metastatic Nasopharyngeal Cancer or Nasal Natural Killer T-Cell Lymphoma","ACTIVE, NOT RECRUITING",
"U10CA081920","NCT00336102","Thyroid Dysfunction in Women With Newly Diagnosed Breast Cancer Compared to Healthy Volunteers","COMPLETED",
"U10EY014229","NCT00336323","A Phase 2 Evaluation of Anti-VEGF Therapy for Diabetic Macular Edema: Bevacizumab (Avastin)","COMPLETED",
"U01HL066947","NCT00336362","Evaluating the Safety of G-CSF Mobilization in Individuals With Beta Thalassemia Major","COMPLETED",
"U10CA021115","NCT00337077","Eribulin Mesylate in Treating Patients With Metastatic Prostate Cancer That Did Not Respond to Hormone Therapy","COMPLETED",
"U10CA032102","NCT00337129","S0618 E7389 in Treating Patients With Metastatic or Recurrent Head and Neck Cancer","COMPLETED",
"P30CA014236","NCT00337194","SGN-30 and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma","COMPLETED",
"U10CA031946","NCT00337194","SGN-30 and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma","COMPLETED",
"R01MH071688","NCT00339079","Treatment of Hypochondriasis With CBT and/or SSRI","COMPLETED",
"R01MH064388","NCT00339092","Modified Directly Observed Therapy for Improving Antiretroviral Therapy Adherence in People With HIV","COMPLETED",
"R01MH061493","NCT00339170","Cognitive Training and Enhanced Supported Employment in Schizophrenia","COMPLETED",
"R24HL074445","NCT00343798","A Pilot Study to Evaluate the Co-Infusion of Ex Vivo Expanded Cord Blood Cells With an Unmanipulated Cord Blood Unit in Patients Undergoing Cord Blood Transplant for Hematologic Malignancies","COMPLETED",
"R43HL106868","NCT00343798","A Pilot Study to Evaluate the Co-Infusion of Ex Vivo Expanded Cord Blood Cells With an Unmanipulated Cord Blood Unit in Patients Undergoing Cord Blood Transplant for Hematologic Malignancies","COMPLETED",
"R01HL084107","NCT00344136","Identifying Genes That May Increase the Risk for Heart Disease in African Americans","COMPLETED",
"U01DK062445","NCT00345553","Biliary Atresia Study in Infants and Children","RECRUITING",
"U01DK062452","NCT00345553","Biliary Atresia Study in Infants and Children","RECRUITING",
"U01DK062456","NCT00345553","Biliary Atresia Study in Infants and Children","RECRUITING",
"U01DK062503","NCT00345553","Biliary Atresia Study in Infants and Children","RECRUITING",
"U01DK084538","NCT00345553","Biliary Atresia Study in Infants and Children","RECRUITING",
"U01EY013878","NCT00347776","Study of Azithromycin to Prevent Recurrent Trichiasis Following Surgery in Ethiopia","COMPLETED",
"U01CA099176","NCT00348985","PXD101 and Bortezomib in Treating Patients With Advanced Solid Tumors or Lymphomas","COMPLETED",
"K23NS050485","NCT00349050","Transcranial Magnetic Stimulation (TMS) Effects on Pain Perception","WITHDRAWN",
"P30CA016672","NCT00349206","Sorafenib and Temsirolimus in Treating Patients With Metastatic, Recurrent, or Unresectable Melanoma","COMPLETED",
"P01NS041386","NCT00349401","Intrathecal Ketorolac in Patients With Intrathecal Morphine Dose Escalation","WITHDRAWN",
"R01NS050372","NCT00349479","Increasing Stroke Treatment Through Interventional Change Tactics Study","COMPLETED",
"U01NS049640","NCT00349622","Clinical Trial Ceftriaxone in Subjects With ALS","COMPLETED",
"N01AI085346","NCT00349713","FMP2.1/AS02A: Rabies Vaccine Malaria-Experienced Adults in Bandiagara, Mali","COMPLETED",
"U10HD027853","NCT00349726","Single-Dose Intravenous Inositol Pharmacokinetics in Preterm Infants","COMPLETED",
"U10HD027871","NCT00349726","Single-Dose Intravenous Inositol Pharmacokinetics in Preterm Infants","COMPLETED",
"U10HD027880","NCT00349726","Single-Dose Intravenous Inositol Pharmacokinetics in Preterm Infants","COMPLETED",
"U10HD040492","NCT00349726","Single-Dose Intravenous Inositol Pharmacokinetics in Preterm Infants","COMPLETED",
"UL1RR024139","NCT00349726","Single-Dose Intravenous Inositol Pharmacokinetics in Preterm Infants","COMPLETED",
"UL1RR025744","NCT00349726","Single-Dose Intravenous Inositol Pharmacokinetics in Preterm Infants","COMPLETED",
"P50HL083800","NCT00349947","Exercise Therapy to Treat Adults With Abdominal Aortic Aneurysms","COMPLETED",
"R01NS050633","NCT00350402","Masked Faces in Parkinson Disease: Mechanism and Treatment","COMPLETED",
"P01NS041386","NCT00350532","Clonidine-induced Spinal Acetylcholine Release: Normal Volunteers vs. Neuropathic Pain","COMPLETED",
"U01CA132123","NCT00351975","Belinostat and Azacitidine in Treating Patients With Advanced Hematologic Cancers or Other Diseases","COMPLETED",
"U10CA098543","NCT00352534","Vincristine, Dactinomycin, and Doxorubicin With or Without Radiation Therapy or Observation Only in Treating Younger Patients Who Are Undergoing Surgery for Newly Diagnosed Stage I, Stage II, or Stage III Wilms' Tumor","ACTIVE, NOT RECRUITING",
"R01MH071580","NCT00352885","Effectiveness of Escitalopram in Preventing or Reducing Depressive Symptoms in People Receiving Interleukin-2 Treatment","COMPLETED",
"R01LM008143","NCT00355381","Evaluating Patient Information Prescriptions","COMPLETED",
"R01HL081399","NCT00356707","Evaluating the Link Between Neighborhood Environments and Obesity Among African American Women","COMPLETED",
"U01CA062461","NCT00357708","Vorinostat and Decitabine in Treating Patients With Relapsed, Refractory, or Poor-Prognosis Hematologic Cancer or Other Diseases","COMPLETED",
"U10CA180820","NCT00357760","Ziv-Aflibercept in Treating Patients With Metastatic or Unresectable Kidney Cancer","COMPLETED",
"P30CA015704","NCT00358657","Fludarabine Phosphate, Cyclophosphamide, and Total-Body Irradiation Followed by Donor Bone Marrow Transplant and Cyclophosphamide, Mycophenolate Mofetil, Tacrolimus, and Sirolimus in Treating Patients With Primary Immunodeficiency Disorders or Noncancerous Inherited Disorders","TERMINATED",
"U01NS054630","NCT00359424","Interventional Management of Stroke (IMS) III Trial","TERMINATED",
"K23NS044997","NCT00360009","Effects of Deep Brain Stimulation on Motor, Mood, and Cognitive Symptoms in Parkinson's Disease","COMPLETED",
"P30CA043703","NCT00361049","Donor Mesenchymal Stem Cell Infusion in Treating Patients With Acute or Chronic Graft-Versus-Host Disease After Undergoing a Donor Stem Cell Transplant","COMPLETED",
"P30CA006973","NCT00361296","Vaccine Therapy in Treating Patients With Myelodysplastic Syndromes","TERMINATED",
"R01MH074085","NCT00361374","Safety and Effectiveness of Omega 3-Fatty Acids, EPA Versus DHA, for the Treatment of Major Depression","COMPLETED",
"R01HL077809","NCT00362128","Cardiovascular Disease Risk Factors in Chinese American Immigrants","COMPLETED",
"R01AG022066","NCT00362284","Comprehensive Support for Alzheimer's Disease Caregivers","COMPLETED",
"R01HL083117","NCT00362908","Effects of Low and Moderate Fat Diets on Lipids, Inflammation and Vascular Reactivity in the Metabolic Syndrome","COMPLETED",
"K23CA106544","NCT00363428","Lung Rehabilitation in Treating Patients With Chronic Obstructive Pulmonary Disease Who Are Undergoing Surgery for Lung Cancer","COMPLETED",
"R01NS034866","NCT00363662","Diagnostic Utility of MRI in Intracerebral Hemorrhage","COMPLETED",
"R03DK064825","NCT00363961","Resistance Training During Maintenance Dialysis","COMPLETED",
"R01HD042080","NCT00365092","Middle Ear Disease Before Age 3, Treatment With Ear Tubes, and Literacy and Attentional Abilities at Ages 9 to 11","COMPLETED",
"U10EY018817","NCT00367133","Intravitreal Triamcinolone Acetonide Versus Laser for Diabetic Macular Edema","COMPLETED",
"R01DA013805","NCT00367172","Directly Observed Antiretroviral Therapy Among Active Drug Users","COMPLETED",
"R21DA020583","NCT00367302","Buprenorphine Maintenance for Opioid-Addicted Persons in Jail and Post-Release","COMPLETED",
"N01CN035000","NCT00368927","Sulindac in Preventing Lung Cancer in Current or Former Smokers With Bronchial Dysplasia","COMPLETED",
"U10CA032102","NCT00368992","S0536: Cetuximab, Paclitaxel, Carboplatin, and Bevacizumab in Treating Patients With Advanced Non-Small Cell Lung Cancer","COMPLETED",
"M01RR000059","NCT00369005","Liberal Versus Restrictive Transfusion Guidelines for Preterm Infants","COMPLETED",
"P01HL046925","NCT00369005","Liberal Versus Restrictive Transfusion Guidelines for Preterm Infants","COMPLETED",
"U10CA021661","NCT00369122","Bevacizumab, Radiation Therapy, and Cisplatin in Treating Patients With Previously Untreated Locally Advanced Cervical Cancer","COMPLETED",
"U01CA062487","NCT00369200","AFP464 in Treating Patients With Advanced Solid Tumors","TERMINATED",
"P30CA014599","NCT00369551","Bevacizumab, Paclitaxel, Carboplatin, and Radiation Therapy to the Chest in Treating Patients With Locally Advanced Non-Small Cell Lung Cancer","TERMINATED",
"R03NR009361","NCT00373932","Real-Time Support for Exercise Persistence in COPD","COMPLETED",
"P30CA022453","NCT00376948","Genistein, Gemcitabine, and Erlotinib in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer","COMPLETED",
"U01AI066007","NCT00377260","Acute Otitis Media (AOM) Therapy Trial in Young Children","COMPLETED",
"R01DK073039","NCT00377312","7 Day Continuous Parathyroid Hormone IV Infusion","COMPLETED",
"R01DA016237","NCT00378079","Methadone Maintenance for Prisoners","COMPLETED",
"R01DK057846","NCT00378508","Anti-CD3 mAb Treatment of Recent Onset Type 1 Diabetes","COMPLETED",
"P30CA016086","NCT00379509","Lapatinib and Radiation Therapy in Treating Patients With Locally Recurrent or Chemotherapy-Refractory Locally Advanced or Metastatic Breast Cancer","COMPLETED",
"R01HL075774","NCT00380185","Understanding the Genetic Basis of Atherosclerosis and Peripheral Arterial Disease","COMPLETED",
"R34MH078583","NCT00380536","Medical Self-Management for Improving Health Behavior Among Individuals in Community Mental Health Settings","COMPLETED",
"R01DK073025","NCT00381160","Reducing Sugar-sweetened Beverage Consumption in Overweight Adolescents","COMPLETED",
"R01MH074013","NCT00381407","Organizational Skills Training for Children With Attention Deficit Hyperactivity Disorder","COMPLETED",
"P60AR047785","NCT00381563","Knee Bracing for People With Patellofemoral Osteoarthritis","COMPLETED",
"U18HD030445","NCT00381823","Healthy Outcomes of Pregnancy Education","UNKNOWN STATUS",
"U18HD036104","NCT00381823","Healthy Outcomes of Pregnancy Education","UNKNOWN STATUS",
"M01RR000051","NCT00383357","Sleepiness and the Risk of Falling","COMPLETED",
"P30CA076292","NCT00383474","Tipifarnib and Bortezomib in Treating Patients With Acute Leukemia or Chronic Myelogenous Leukemia in Blast Phase","COMPLETED",
"R21AA013284","NCT00383838","Self-Selected Brief Alcohol Intervention for Adolescents","COMPLETED",
"R01LM008255","NCT00386776","Patient Computer Dialog in Primary Care","COMPLETED",
"R21DA021349","NCT00386945","Tobacco Cessation Via Doctors of Chiropractic","COMPLETED",
"R01HL081761","NCT00387179","Effectiveness of Combining Light and Non-Light Treatments for Jet Lag and Sleep Disorders","UNKNOWN STATUS",
"P01HL076611","NCT00387621","Natriuretic Peptide System as Therapy in Human Preclinical Left Ventricle Dysfunction","COMPLETED",
"U01CA097452","NCT00387920","Sunitinib in Treating Young Patients With Refractory Solid Tumors","COMPLETED",
"U10HD040545","NCT00388297","Thyroid Therapy for Mild Thyroid Deficiency in Pregnancy","COMPLETED",
"K23AI052413","NCT00388349","Gemcitabine and Hodgkin's Disease Chemotherapy Followed by Peripheral Blood Stem Cell Rescue for Hodgkin's Disease","COMPLETED",
"U01NS051566","NCT00389181","A Randomized Trial of Unruptured Brain AVMs","COMPLETED",
"R01AG017082","NCT00389844","BHS5 - Testing the Effectiveness of the Exercise Plus Program","COMPLETED",
"P30CA015083","NCT00390000","Vatalanib and Pemetrexed Disodium in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U01CA062505","NCT00390052","3-AP in Treating Patients With Advanced or Metastatic Solid Tumors","COMPLETED",
"R34MH074844","NCT00392236","Improving Medication Adherence Among People With Schizophrenia Through the Use of 2-way Pagers","COMPLETED",
"R01CA114567","NCT00392327","Chemotherapy and Radiation Therapy in Treating Young Patients With Newly Diagnosed, Previously Untreated, High-Risk Medulloblastoma/PNET","ACTIVE, NOT RECRUITING",
"U10CA180886","NCT00392327","Chemotherapy and Radiation Therapy in Treating Young Patients With Newly Diagnosed, Previously Untreated, High-Risk Medulloblastoma/PNET","ACTIVE, NOT RECRUITING",
"P30CA013330","NCT00392353","Vorinostat and Azacitidine in Treating Patients With Myelodysplastic Syndromes or Acute Myeloid Leukemia","ACTIVE, NOT RECRUITING",
"U54HD028138","NCT00392756","Examination of Idiopathic Hypogonadotropic Hypogonadism (IHH)and Kallmann Syndrome (KS)","RECRUITING",
"U10HL064287","NCT00394329","(CARE Network Trial - Treating Children to Prevent Exacerbations of Asthma (TREXA)","COMPLETED",
"U01HD049934","NCT00395161","The CRISIS Prevention Study","TERMINATED",
"U10HL064287","NCT00395304","Childhood Asthma Research and Education (CARE) Network Trial - Best Add-On Therapy Giving Effective Response (BADGER)","COMPLETED",
"U10HL064313","NCT00395304","Childhood Asthma Research and Education (CARE) Network Trial - Best Add-On Therapy Giving Effective Response (BADGER)","COMPLETED",
"R01AG025489","NCT00396994","'VIBES'--Low Magnitude Mechanical Stimulation to Improve Bone Mineral Density","COMPLETED",
"P30CA068485","NCT00397384","Erlotinib Hydrochloride and Cetuximab in Treating Patients With Advanced Gastrointestinal Cancer, Head and Neck Cancer, Non-Small Cell Lung Cancer, or Colorectal Cancer","COMPLETED",
"P01CA018029","NCT00397813","Fludarabine Phosphate and Total Body Irradiation Followed by a Donor Peripheral Stem Cell Transplant in Treating Patients With Myelodysplastic Syndromes or Myeloproliferative Disorders","COMPLETED",
"P30CA012197","NCT00398047","Azacitidine, Darbepoetin Alfa, and Erythropoietin and Filgastrim (G-CSF) in Treating Patients With Myelodysplastic Syndromes","TERMINATED",
"U10CA025224","NCT00398112","Sunitinib in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma","COMPLETED",
"K23HL077597","NCT00399880","Improving Medication Adherence Through Graphically Enhanced Interventions in Acute Coronary Syndromes","COMPLETED",
"P01CA068484","NCT00400946","Treatment of Acute Lymphoblastic Leukemia in Children","COMPLETED",
"K23MH066265","NCT00402389","Use of Omega-3 Fatty Acids for Perinatal Depression","COMPLETED",
"P50CA058204","NCT00403221","Phase I - Pre-Radical Prostatectomy RTVP-1 Gene Therapy for Prostate Cancer","COMPLETED",
"R21CA109670","NCT00403377","Investigation of a Behavioral Substitute for Sunbathing","COMPLETED",
"R44DK060302","NCT00406536","Study of LYM-X-SORB™ to Improve Fatty Acid and Choline Status in Children With CF and PI","COMPLETED",
"P30CA006973","NCT00407966","Alvocidib, Cytarabine, and Mitoxantrone in Treating Patients With Newly Diagnosed Acute Myeloid Leukemia","COMPLETED",
"U01CA070095","NCT00407966","Alvocidib, Cytarabine, and Mitoxantrone in Treating Patients With Newly Diagnosed Acute Myeloid Leukemia","COMPLETED",
"P30CA015083","NCT00408590","Recombinant Measles Virus Vaccine Therapy and Oncolytic Virus Therapy in Treating Patients With Progressive, Recurrent, or Refractory Ovarian Epithelial Cancer or Primary Peritoneal Cancer","COMPLETED",
"U10CA032102","NCT00410813","S0622, Dasatinib in Treating Patients With Stage IV Breast Cancer That Has Spread to the Bone","COMPLETED",
"R01DC003196","NCT00411216","Recovery of Visual Acuity in People With Vestibular Deficits","COMPLETED",
"U24CA076518","NCT00412360","Single vs Double Umbilical Cord Blood Transplants in Children With High Risk Leukemia and Myelodysplasia (BMT CTN 0501)","COMPLETED",
"U54RR019498","NCT00414648","Efficacy and Safety of Sirolimus for Treating Lymphangioleiomyomatosis (LAM)","UNKNOWN STATUS",
"P50NS051343","NCT00414726","Normobaric Oxygen Therapy in Acute Ischemic Stroke Trial","TERMINATED",
"P30CA014520","NCT00415025","Side Effects of High-Dose Intensity-Modulated Radiation Therapy in Treating Patients With Advanced Head and Neck Cancer","COMPLETED",
"P50NS049060","NCT00415389","The Stroke Warning Information and Faster Treatment Study (SWIFT)","TERMINATED",
"P01CA097012","NCT00415454","Study Combining Suicide Gene Therapy With Chemoradiotherapy in the Treatment of Non-Metastatic Pancreatic Adenocarcinoma","TERMINATED",
"P30CA015083","NCT00416624","Epoetin Alfa or Darbepoetin Alfa in Treating Patients With Anemia Caused by Chemotherapy","COMPLETED",
"P30CA051008","NCT00416754","Genetic Counseling in Women at Risk for BRCA1 or BRCA2 Mutations","COMPLETED",
"R01CA116477","NCT00416949","Iodine I 131 in Treating Patients With Thyroid Cancer","TERMINATED",
"U10CA037447","NCT00417040","Collection of Patient-Reported Symptoms and Performance Status Via the Internet","COMPLETED",
"UG1CA189823","NCT00417040","Collection of Patient-Reported Symptoms and Performance Status Via the Internet","COMPLETED",
"P01CA109552","NCT00417287","Phase II Study of PX-12 in Patients With Advanced Pancreatic Cancer","TERMINATED",
"K23MH074506","NCT00418977","Comparing the Effectiveness of Two Therapies to Treat Signs of Anorexia Nervosa in Adolescents","COMPLETED",
"R01DA022217","NCT00421603","A Placebo-Controlled Study of Mixed Amphetamine Salts and Topiramate for the Treatment of Cocaine Dependence","COMPLETED",
"P01AG004390","NCT00421759","Noise-Enhanced Sensory Function in Elders at Risk for Falls","UNKNOWN STATUS",
"R01NR010162","NCT00424099","Methylphenidate and a Nursing Telephone Intervention for Fatigue","COMPLETED",
"P30CA006973","NCT00425477","Bexarotene and GM-CSF in Treating Patients With Myelodysplastic Syndrome or Acute Myeloid Leukemia","COMPLETED",
"R01HL085565","NCT00425542","Safety Study of Outpatient Treatment for Pulmonary Embolism","COMPLETED",
"K23AT003304","NCT00426244","Osteopathic Manipulative Medicine in Pregnancy: Physiologic and Clinical Effects","COMPLETED",
"U10CA023318","NCT00427349","AMG 706 and Octreotide in Treating Patients With Low-Grade Neuroendocrine Tumors","COMPLETED",
"K23MH076049","NCT00429169","Paroxetine/Bupropion in Suicide Attempters/Ideators With Major Depression","TERMINATED",
"R01DK075018","NCT00429351","Aromatic Amino Acid Metabolism in the Pathogenesis of Kwashiorkor","COMPLETED",
"R01MH077493","NCT00429546","Assisting HIV-infected Mothers in Disclosing Their Serostatus to Their Children","COMPLETED",
"R01AG024040","NCT00431301","Risk Factors for Progressive Supranuclear Palsy (PSP)","COMPLETED",
